WORKSITE_STATE,count
CA,536439
TX,355150
NY,219376
WA,162708
NJ,156501
IL,124232
MA,111864
GA,102319
NC,99890
FL,84998
PA,82924
VA,75639
MI,75628
OH,61027
AZ,47830
MD,38647
MN,36640
CT,36176
MO,31864
TN,30930
CO,30677
IN,25952
OR,24193
WI,22826
AR,16731
UT,15592
DC,14498
SC,13903
DE,13040
KY,12345
IA,12020
KS,10204
RI,8990
NE,8476
AL,7744
NH,7410
LA,7402
NV,6953
OK,6467
NM,4875
ID,3708
MS,3343
GU,2510
ME,2337
ND,1959
WV,1900
SD,1684
HI,1573
VT,1311
MT,1014
AK,983
WY,761
PR,476
MP,355
VI,215
PW,1
