WORKSITE_STATE,MEDIAN_PREVAILING_WAGE
AK,59890.0
AL,72405.0
AR,77397.0
AZ,86632.0
CA,120931.0
CO,93870.0
CT,89002.5
DC,96595.0
DE,92082.0
FL,80995.0
GA,87485.0
GU,50045.0
HI,73611.0
IA,77673.5
ID,79872.0
IL,87838.0
IN,75566.0
KS,76502.0
KY,73590.0
LA,65894.0
MA,94141.0
MD,92851.0
ME,78998.0
MI,80163.0
MN,88296.0
MO,83346.0
MP,22.87
MS,64688.0
MT,58864.0
NC,91291.0
ND,53914.0
NE,79019.0
NH,90542.0
NJ,96886.0
NM,67080.0
NV,80787.0
NY,96886.0
OH,83075.0
OK,69992.0
OR,93018.0
PA,85197.0
PR,49618.0
PW,59032.0
RI,90418.0
SC,75962.0
SD,58148.5
TN,76045.0
TX,93558.0
UT,75691.0
VA,96595.0
VI,42560.0
VT,69472.0
WA,113381.0
WI,77147.0
WV,69500.0
WY,66040.0
