EMPLOYER_NAME,COUNT
Cognizant Technology Solutions US Corp,81807
Tata Consultancy Services Limited,51655
Google LLC,49998
Ernst & Young U.S. LLP,49310
Microsoft Corporation,45133
Amazon.com Services LLC,44762
INFOSYS LIMITED,36437
Apple Inc.,20805
Accenture LLP,20278
AMAZON.COM SERVICES LLC,20148
CAPGEMINI AMERICA INC,18308
Deloitte Consulting LLP,17274
Intel Corporation ,16976
"WAL-MART ASSOCIATES, INC.",15362
"Meta Platforms, Inc",15336
Wipro Limited,14046
"Amazon Web Services, Inc.",12097
"COMPUNNEL SOFTWARE GROUP, INC",11442
"Qualcomm Technologies, Inc.",11060
IBM Corporation,10894
