EMPLOYER_NAME,COUNT,median,std
Cognizant Technology Solutions US Corp,81807,92269.0,18269.690583549997
Tata Consultancy Services Limited,51655,75691.0,14512.913255650707
Google LLC,49998,130894.0,29757.55617803826
Ernst & Young U.S. LLP,49310,89502.5,30671.389546737046
Microsoft Corporation,45133,119350.0,28345.033373853606
Amazon.com Services LLC,44762,106642.0,33222.8358410331
INFOSYS LIMITED,36437,77771.0,38165.93606056761
Apple Inc.,20805,146744.0,31306.9791585186
Accenture LLP,20278,96512.0,24229.214344429198
AMAZON.COM SERVICES LLC,20148,113110.0,28543.64212875984
CAPGEMINI AMERICA INC,18308,95264.0,20411.554446316368
Deloitte Consulting LLP,17274,98259.0,29434.601592995463
Intel Corporation ,16976,109512.0,26618.09791406508
"WAL-MART ASSOCIATES, INC.",15362,108784.0,30448.700371328036
"Meta Platforms, Inc",15336,160638.0,32364.657966890703
Wipro Limited,14046,78104.0,17798.133763051075
"Amazon Web Services, Inc.",12097,101566.0,29558.090819434263
"COMPUNNEL SOFTWARE GROUP, INC",11442,94037.0,24604.91997190988
"Qualcomm Technologies, Inc.",11060,117021.0,22753.997992083852
IBM Corporation,10894,94619.0,24937.178628419817
