EMPLOYER_NAME,median,std,count
"Netflix, Inc.",183310.0,47771.34514097227,1362
Roblox Corporation,167710.0,38059.241226345395,590
"Roku, Inc.",166483.0,50318.11221987001,739
"Meta Platforms, Inc",160638.0,32364.657966890703,15336
"Palo Alto Networks, Inc.",157851.0,38070.473548660375,2044
Splunk Inc.,156749.0,29203.91490641709,632
Maplebear Inc.,156749.0,38274.0439272307,705
"PURE STORAGE, INC.",155106.0,36107.91728795687,883
" DoorDash, Inc. ",155106.0,29915.417953931785,1466
NVIDIA Corporation,153504.0,37061.45919520229,4411
Cruise LLC,148949.0,31644.40461330948,1023
TikTok Inc.,148658.0,43046.03359415159,1305
Snowflake Inc.,148013.0,34740.22459116854,917
"DoorDash, Inc.",147368.0,40162.07923784538,720
"Confluent, Inc.",146827.0,36767.72783983388,520
LINKEDIN CORPORATION,146827.0,33786.75927821223,3429
Bytedance Inc.,146827.0,43007.849446290435,3087
Apple Inc.,146744.0,31306.9791585186,20805
Nutanix Inc.,145725.0,37731.45103683465,620
VMware Inc.,145725.0,31139.129398699206,564
eBay Inc.,145725.0,31648.206419149927,3820
"AIRBNB, INC.",145246.0,27645.500939037614,1195
DocuSign Inc. ,145205.0,35994.29880673166,620
"Robinhood Markets, Inc.",144726.0,38893.31803169022,885
"Adobe, Inc.",144459.0,36139.81971762047,4195
"Twitter, Inc.",144040.0,26350.180851158555,965
"Facebook, Inc.",144040.0,29153.81162268494,9456
"AFFIRM, INC.",143988.0,36900.63206207708,600
FACEBOOK INC.,143936.0,29975.12945273666,2379
"Zillow, Inc.",142667.0,33808.50440373455,923
"Zscaler, Inc.",142438.0,34795.50465665314,518
"OATH HOLDINGS, INC.",142146.0,38350.2270435007,1044
"Samsung Semiconductor, Inc.",141669.0,30119.91624022392,670
LinkedIn Corporation,141586.0,35731.697463150005,2472
"VMware, Inc.",141378.0,32827.23252271691,2680
Waymo LLC,141378.0,29319.356919570557,1270
"Twilio, Inc.",141357.0,34872.79791486007,1169
"Databricks, Inc. ",140920.0,25563.815674895282,593
SNAP INC.,140920.0,36933.035731490825,1558
"Coinbase, Inc.",140150.0,36300.062148973746,528
Intuit Inc.,139932.0,34797.31575029272,1132
"Pinterest, Inc.",139613.0,30532.349338718737,1244
"FORTINET, INC.",138590.0,29955.863884507227,503
Zoox Inc.,138486.0,28841.95178003004,832
"Stripe, Inc.",138060.0,35391.84333437792,1264
"LYFT, INC.",137259.0,29190.660845844963,1010
"PayPal, Inc.",137092.0,31580.50459864109,4598
"Square, Inc. ",136906.0,31343.529018606852,512
"Juniper Networks, Inc.",135283.0,63409.76836308898,1421
Safeway Inc. ,134992.0,52152.27131590435,744
